iter	MultiClass
0	2.534335869
1	2.450960386
2	2.360340379
3	2.291081908
4	2.211842346
5	2.150876502
6	2.082463836
7	2.016388458
8	1.960567689
9	1.907440002
10	1.857284397
11	1.806915571
12	1.757970324
13	1.711626301
14	1.667054164
15	1.628920907
16	1.592375099
17	1.555882485
18	1.516358576
19	1.475685339
20	1.444555217
21	1.414985741
22	1.387595733
23	1.358926298
24	1.332309618
25	1.304155
26	1.278132081
27	1.247704956
28	1.225518767
29	1.203095224
30	1.181248625
31	1.161862647
32	1.138572473
33	1.120708245
34	1.102602208
35	1.084380508
36	1.065999326
37	1.052892027
38	1.034315323
39	1.017149834
40	1.001129873
41	0.9892625961
42	0.975483383
43	0.9630875836
44	0.9493896117
45	0.9352416214
46	0.9206408388
47	0.9089668969
48	0.8930490563
49	0.8855203791
50	0.8749570031
51	0.8652855823
52	0.8531513325
53	0.8443912021
54	0.833234896
55	0.8231243368
56	0.810985795
57	0.8022823273
58	0.7913886326
59	0.782116065
60	0.7719971144
61	0.7647144558
62	0.7541648379
63	0.7435231074
64	0.7337146134
65	0.7254594604
66	0.7179096815
67	0.7105889946
68	0.705212892
69	0.6968411473
70	0.6910358223
71	0.6843759833
72	0.6790567863
73	0.671621603
74	0.6661276273
75	0.6580032655
76	0.6526659769
77	0.6473193082
78	0.6422452513
79	0.6365757564
80	0.6313344202
81	0.6268375843
82	0.6212670222
83	0.6164678632
84	0.613475078
85	0.6095566001
86	0.6052658286
87	0.6010613829
88	0.5982253644
89	0.5958230036
90	0.5925943848
91	0.5864048868
92	0.5807058921
93	0.5769615541
94	0.5744705741
95	0.5720589616
96	0.5705423065
97	0.5642415564
98	0.5616751503
99	0.559288799
100	0.5565668977
101	0.5531826268
102	0.552088
103	0.5485739552
104	0.5460885189
105	0.5418606469
106	0.5388814915
107	0.5376151256
108	0.5335625244
109	0.5321131805
110	0.5275082287
111	0.5256408378
112	0.523309721
113	0.5192394002
114	0.5152445643
115	0.5133249432
116	0.509673855
117	0.5062147376
118	0.5048033061
119	0.5031589775
120	0.5004178277
121	0.4987334301
122	0.4967815005
123	0.4945138554
124	0.4924534054
125	0.491801109
126	0.4887721066
127	0.4865981108
128	0.4815123402
129	0.4773847192
130	0.4729017074
131	0.4723361309
132	0.4703074854
133	0.4692205159
134	0.4684160242
135	0.4678086296
136	0.4646838367
137	0.4640840305
138	0.4614765837
139	0.4603268978
140	0.4593145083
141	0.4565488363
142	0.453968417
143	0.4528609075
144	0.4517827532
145	0.4488194804
146	0.446695324
147	0.4449306302
148	0.4428229683
149	0.439946538
150	0.4395780439
151	0.4358648554
152	0.4354329327
153	0.4330960026
154	0.4321454928
155	0.429463465
156	0.4262237689
157	0.4244398428
158	0.4230436253
159	0.421208109
160	0.4190970497
161	0.4156985
162	0.4142984894
163	0.4114766054
164	0.410484424
165	0.4099010478
166	0.408064628
167	0.4065521886
168	0.4056444208
169	0.4049696599
170	0.4037271268
171	0.401050655
172	0.3987137933
173	0.3977397818
174	0.3971081355
175	0.3967836236
176	0.3941229159
177	0.3918816128
178	0.3904159643
179	0.3899767118
180	0.3892397446
181	0.3884883717
182	0.386281222
183	0.3840142052
184	0.382343954
185	0.3808904547
186	0.3795644645
187	0.3782752751
188	0.3769767394
189	0.3755542625
190	0.374654584
191	0.3733377891
192	0.3726825852
193	0.3722809784
194	0.3705077715
195	0.3697921118
196	0.3680510099
197	0.3668495466
198	0.3659434462
199	0.3637118697
