iter	Passed	Remaining
0	22719	4521251
1	41544	4112943
2	61017	4006789
3	80897	3963986
4	101873	3973049
5	119009	3847961
6	138295	3812997
7	154138	3699329
8	170332	3614833
9	186153	3536923
10	203118	3489944
11	228628	3581840
12	248888	3580162
13	272033	3614157
14	299513	3693993
15	322343	3706954
16	347670	3742570
17	369860	3739702
18	388677	3702667
19	412883	3715953
20	439577	3746877
21	465183	3763757
22	486019	3740239
23	508108	3726128
24	539691	3777841
25	568057	3801615
26	586856	3760230
27	606289	3724348
28	626539	3694420
29	652174	3695658
30	678546	3699172
31	702534	3688304
32	729403	3691223
33	753330	3678023
34	778344	3669338
35	796075	3626564
36	821187	3617664
37	845346	3603845
38	886110	3658046
39	924905	3699623
40	950531	3686208
41	982937	3697716
42	1003916	3665462
43	1028103	3645095
44	1046198	3603571
45	1064613	3564141
46	1081576	3520877
47	1097873	3476600
48	1119351	3449431
49	1138144	3414433
50	1163607	3399559
51	1181829	3363668
52	1200188	3328824
53	1217544	3291879
54	1233893	3252991
55	1259192	3237923
56	1276390	3202172
57	1293069	3165789
58	1309689	3129934
59	1326496	3095157
60	1343026	3060339
61	1361768	3031033
62	1379436	2999727
63	1396662	2967907
64	1414540	2937890
65	1431720	2906826
66	1448637	2875654
67	1465679	2845143
68	1483470	2816444
69	1503985	2793116
70	1525481	2771650
71	1545781	2748055
72	1572008	2734864
73	1592169	2710991
74	1613034	2688390
75	1631907	2662586
76	1652377	2639512
77	1673101	2616901
78	1698230	2601087
79	1727718	2591578
80	1756165	2580045
81	1779065	2560118
82	1801790	2539872
83	1833253	2531635
84	1853102	2507139
85	1874270	2484498
86	1895435	2461887
87	1923865	2448555
88	1946598	2427780
89	1965494	2402271
90	1990867	2384665
91	2014666	2365043
92	2035270	2341655
93	2052760	2314815
94	2071353	2289390
95	2092489	2266864
96	2111443	2242048
97	2129965	2216902
98	2148357	2191758
99	2169354	2169354
100	2189575	2146217
101	2208801	2122181
102	2229115	2099264
103	2250871	2077727
104	2269184	2053071
105	2288123	2029090
106	2314187	2011396
107	2332426	1986881
108	2352389	1963921
109	2377150	1944941
110	2400250	1924525
111	2421516	1902620
112	2442333	1880380
113	2461538	1856950
114	2479463	1832647
115	2495852	1807341
116	2512883	1782643
117	2529056	1757479
118	2545485	1732641
119	2563249	1708832
120	2581125	1685197
121	2598427	1661289
122	2614773	1636890
123	2632332	1613365
124	2648860	1589316
125	2665225	1565290
126	2682078	1541666
127	2698382	1517839
128	2720163	1497144
129	2738575	1474617
130	2754787	1450994
131	2771076	1427524
132	2786971	1403963
133	2803492	1380824
134	2824662	1360022
135	2841417	1337137
136	2861678	1315954
137	2881289	1294492
138	2905397	1275030
139	2927937	1254830
140	2944759	1232204
141	2963685	1210519
142	2983376	1189178
143	3002776	1167746
144	3021021	1145904
145	3039745	1124289
146	3060457	1103430
147	3081244	1082599
148	3103797	1062373
149	3129303	1043101
150	3151441	1022653
151	3170122	1001091
152	3188647	979519
153	3209904	958802
154	3227876	937125
155	3244165	915021
156	3260950	893126
157	3277180	871149
158	3293287	849212
159	3309700	827425
160	3326146	805712
161	3346322	784939
162	3378682	766940
163	3412760	749142
164	3449240	731657
165	3489362	714688
166	3546132	700732
167	3612650	688123
168	3658275	671044
169	3696709	652360
170	3723628	631492
171	3748824	610273
172	3781174	590125
173	3816056	570215
174	3861216	551602
175	3881014	529229
176	3900125	506795
177	3918044	484252
178	3934345	461571
179	3951048	439005
180	3968905	416625
181	3989820	394597
182	4010940	372601
183	4031379	350554
184	4047578	328182
185	4065062	305972
186	4095856	284738
187	4121886	263099
188	4146395	241324
189	4165342	219228
190	4186988	197292
191	4203805	175158
192	4220574	153077
193	4237139	131045
194	4253995	109076
195	4270756	87158
196	4288007	65299
197	4304598	43480
198	4321342	21715
199	4338013	0
